Unique Word Count,Num Billboard Songs,Years Active,Avg Billboard Songs
2556,24,9,2.666666667
2472,3,9,0.3333333333
2936,15,28,0.5357142857
2988,32,5,6.4
2738,14,3,4.666666667
2762,16,4,4
2988,1,8,0.125
3048,35,14,2.5
3029,15,14,1.071428571
2724,10,5,2
3219,9,14,0.6428571429
3384,39,23,1.695652174
3275,12,28,0.4285714286
3347,193,12,16.08333333
3321,84,10,8.4
3318,11,11,1
3055,10,9,1.111111111
3197,23,6,3.833333333
3161,12,4,3
3281,18,9,2
3193,34,8,4.25
3392,51,7,7.285714286
3395,31,9,3.444444444
3782,7,13,0.5384615385
3442,11,17,0.6470588235
3580,15,28,0.5357142857
3601,11,10,1.1
3797,42,26,1.615384615
3642,15,14,1.071428571
3515,25,13,1.923076923
3760,96,15,6.4
3486,162,19,8.526315789
3747,33,8,4.125
3447,12,12,1
3537,8,10,0.8
3486,25,12,2.083333333
3563,42,8,5.25
3748,20,8,2.5
3682,7,8,0.875
3468,14,10,1.4
3426,41,12,3.416666667
3690,5,7,0.7142857143
3454,44,7,6.285714286
3616,102,9,11.33333333
3491,2,8,0.25
3899,5,17,0.2941176471
3815,21,5,4.2
4011,0,1,0
3905,1,27,0.03703703704
3817,6,17,0.3529411765
3902,5,26,0.1923076923
3978,6,13,0.4615384615
3869,2,27,0.07407407407
3863,1,14,0.07142857143
4172,9,16,0.5625
4144,1,11,0.09090909091
4150,17,9,1.888888889
4091,36,13,2.769230769
3907,47,13,3.615384615
4171,56,17,3.294117647
3812,39,7,5.571428571
3851,3,6,0.5
3823,1,7,0.1428571429
3924,0,1,0
3965,0,1,0
3898,0,1,0
4163,1,8,0.125
4017,47,8,5.875
3960,11,7,1.571428571
4097,8,8,1
3946,27,11,2.454545455
3883,0,1,0
4423,1,15,0.06666666667
4334,2,19,0.1052631579
4301,1,12,0.08333333333
4542,4,27,0.1481481481
4362,3,17,0.1764705882
4338,12,28,0.4285714286
4275,99,21,4.714285714
4243,8,21,0.380952381
4545,19,12,1.583333333
4261,2,30,0.06666666667
4236,7,11,0.6363636364
4480,73,23,3.173913043
4236,16,14,1.142857143
4523,4,13,0.3076923077
4318,7,3,2.333333333
4392,1,16,0.0625
4406,1,20,0.05
4522,17,25,0.68
4534,0,1,0
4414,12,8,1.5
4361,0,1,0
4282,0,1,0
4426,0,1,0
4374,0,1,0
4431,3,10,0.3
4272,19,10,1.9
4632,7,25,0.28
4655,0,1,0
4638,28,28,1
4613,20,20,1
4644,6,27,0.2222222222
4812,3,27,0.1111111111
4626,19,17,1.117647059
4598,2,14,0.1428571429
4571,3,24,0.125
4910,14,24,0.5833333333
4838,5,26,0.1923076923
4730,0,1,0
4572,56,15,3.733333333
4645,12,12,1
4827,2,10,0.2
4772,0,1,0
4678,1,15,0.06666666667
4787,5,16,0.3125
4879,0,1,0
4871,1,6,0.1666666667
4757,0,1,0
5138,7,24,0.2916666667
5178,5,23,0.2173913043
5004,10,25,0.4
4980,5,18,0.2777777778
4977,22,22,1
5196,12,23,0.5217391304
4928,0,1,0
5233,1,7,0.1428571429
5107,0,1,0
5554,1,28,0.03571428571
5566,0,1,0
5428,2,12,0.1666666667
5496,0,1,0
5443,0,1,0
5413,0,1,0
5845,0,1,0
5781,4,21,0.1904761905
5741,0,1,0
5915,1,20,0.05
5901,2,22,0.09090909091
5930,0,1,0
5738,0,1,0
5704,0,1,0
6018,1,10,0.1
6390,3,17,0.1764705882
6196,2,24,0.08333333333
6424,0,1,0
6169,0,1,0
7879,0,1,0
7324,0,1,0